# Dados Históricos de Negociação - Sistema de Investimentos
# Formato: CodigoNegociacao|Data|PrecoMedio
# Data no formato AAAAMMDD
# Preços em formato brasileiro (com vírgula decimal)

# Produtos de Papelaria - Dados Fictícios para Fins Didáticos

# Canetas
00001|20240315|1,38
00001|20240316|1,33
00001|20240317|1,43
00001|20240318|1,35
00001|20240319|1,45
00001|20240320|1,40

# Lápis
00002|20240315|0,68
00002|20240316|0,63
00002|20240317|0,70
00002|20240318|0,65
00002|20240319|0,73
00002|20240320|0,68

# Cadernos
00003|20240315|4,60
00003|20240316|4,40
00003|20240317|4,75
00003|20240318|4,55
00003|20240319|4,90
00003|20240320|4,70

# Borrachas
00004|20240315|0,98
00004|20240316|0,93
00004|20240317|1,00
00004|20240318|0,95
00004|20240319|1,03
00004|20240320|0,98

# Réguas
00005|20240315|1,73
00005|20240316|1,68
00005|20240317|1,78
00005|20240318|1,73
00005|20240319|1,83
00005|20240320|1,78

# Tesouras
00006|20240315|6,63
00006|20240316|6,40
00006|20240317|6,78
00006|20240318|6,55
00006|20240319|6,93
00006|20240320|6,70

# Colas
00007|20240315|2,58
00007|20240316|2,53
00007|20240317|2,63
00007|20240318|2,58
00007|20240319|2,68
00007|20240320|2,63

# Papéis
00008|20240315|8,23
00008|20240316|8,03
00008|20240317|8,33
00008|20240318|8,13
00008|20240319|8,43
00008|20240320|8,23

# Mochilas
00009|20240315|24,38
00009|20240316|24,08
00009|20240317|24,63
00009|20240318|24,38
00009|20240319|24,73
00009|20240320|24,48 
